group_name,unit,crater_count,lat_band,min_lat,max_lat,model_age,model_age_sigma,model_erosion,model_erosion_sigma,model_erosion_025CI,model_erosion_975CI
AHi9,AHi,1869,9,51.0,68.0,3.8396769586787594,0.02053409557456547,451.27439589238503,59.8626277218129,357.6869059579807,584.3350522904705
Av8,Av,1119,8,34.0,51.0,3.538381994715708,0.040917912578045265,151.073852081021,32.318360980709876,96.62583677458333,220.50970320353457
mNh6,mNh,19434,6,0.0,17.0,3.92257602444317,0.0042906062297252325,116.86552331364527,5.643597581258931,106.35785767616316,128.033746550052
eHv3,eHv,1752,3,-51.0,-34.0,3.7102260042436632,0.02103249226943886,31.20601831672947,17.788268316037442,0.020614951686305043,66.34240570583788
lHl7,lHl,4258,7,17.0,34.0,3.67778098495921,0.0038838248734177584,3.00566328280711e-14,8.893299374902432e-17,2.990204189147013e-14,3.02087987879381e-14
mNh7,mNh,15479,7,17.0,34.0,3.927902232036039,0.005187905143404243,129.53951355861184,7.132322350943907,115.34760377701956,144.00240066023343
AHi4,AHi,5913,4,-34.0,-17.0,3.868826334613464,0.006779475945900098,54.28201594592901,7.1319412950257,40.99368675556331,69.16366540866817
eNh7,eNh,3467,7,17.0,34.0,3.972802837948121,0.015749639128178138,298.8224258059708,36.805987597926766,234.31666856324313,380.4175948465441
lHt7,lHt,2058,7,17.0,34.0,3.6859879390275316,0.006019370145281386,0.8357631926614602,1.8492784231952235,4.4566838432922516e-5,6.74922310728057
AHv5,AHv,1487,5,-17.0,0.0,3.406528121672588,0.018142930221298016,1.8266405944345936,3.655512000195138,7.894873353268253e-5,13.610136499138424
lHv5,lHv,2292,5,-17.0,0.0,3.7057331821846757,0.005159627239028685,0.3701804559058597,0.7960075033838047,5.0946843903474685e-5,2.8915403993528774
lHt6,lHt,1211,6,0.0,17.0,3.655725760610051,0.009619809520647447,2.144212672969407,4.4895347177108205,7.768282959491739e-5,16.521057249228743
eNhm2,eNhm,1251,2,-68.0,-51.0,4.19349788078316,0.15096237353659814,5456.290504803249,6773.89202658466,616.0697362375114,29351.2118811851
mNh5,mNh,33736,5,-17.0,0.0,3.8780982055248994,0.0036230524323187237,44.64578221152911,3.716147469331668,37.91453790390126,52.192575336555635
AHi7,AHi,2434,7,17.0,34.0,3.86156642134893,0.011853275514239753,108.96107620489614,14.595651995589586,81.32669844707746,138.94316591237137
eNhm4,eNhm,2296,4,-34.0,-17.0,3.828134862437081,0.014817092870673428,61.12324761091337,15.78582094582573,30.47787771065742,92.61429714332186
AHi5,AHi,4381,5,-17.0,0.0,3.894885713720948,0.008089688521879615,79.941991049856,9.111201926818445,62.60676487900972,97.45556961383512
