Shape_Length,Shape_Area,Unit,UnitDesc,SphArea_km,OBJECTID,SUM_SphArea_km
426804.334677305887453,5145874076.015077590942383,Nhu,Noachian highland undivided unit,6294.5957031,43,1610477.508789062500000
378555.014419266779441,8587280464.016446113586426,lNh,Late Noachian highland unit,10508.0976562,37,8419068.689208984375000
970144.194575138506480,49757648385.676818847656250,lNh,Late Noachian highland unit,60796.9062500,37,8419068.689208984375000
710380.666925272787921,13691522460.804409027099609,Nhu,Noachian highland undivided unit,16735.4355469,43,1610477.508789062500000
1251358.701751070562750,53635123993.809417724609375,mNh,Middle Noachian highland unit,65521.6835938,40,32313488.187866210937500
1131291.523975749500096,32097757388.213047027587891,Htu,Hesperian transition undivided unit,39238.8750000,25,741194.071777343750000
899257.118032483267598,11458322204.054439544677734,mNh,Middle Noachian highland unit,14008.1201172,40,32313488.187866210937500
417194.034192296210676,6613943718.942798614501953,lNh,Late Noachian highland unit,8095.1640625,37,8419068.689208984375000
1416711.558752016630024,54193393910.008644104003906,eHt,Early Hesperian transition unit,66258.2968750,13,3688018.222167968750000
524314.789226584136486,9331730529.023962020874023,eNh,Early Noachian highland unit,11411.5449219,15,14599337.820922851562500
1892795.543426195159554,63473413799.108665466308594,eHt,Early Hesperian transition unit,77509.8359375,13,3688018.222167968750000
1376199.852224535774440,16782560455.652748107910156,Aa,Amazonian apron unit,20499.8164062,1,998728.253906250000000
687421.101895907660946,19881600635.362392425537109,lNh,Late Noachian highland unit,24329.7480469,37,8419068.689208984375000
10614879.789481334388256,199566619290.706787109375000,Nhu,Noachian highland undivided unit,243398.0468750,43,1610477.508789062500000
453630.106848803989124,8637337123.299272537231445,AHi,Amazonian and Hesperian impact unit,10580.2929688,2,7913061.843505859375000
1799305.690415611723438,144712737664.896087646484375,lAa,Late Amazonian apron unit,176687.7187500,27,285947.158203125000000
1663425.082569978898391,71241942748.682250976562500,AHi,Amazonian and Hesperian impact unit,87031.0625000,2,7913061.843505859375000
358330.250758402631618,9186884073.007356643676758,AHi,Amazonian and Hesperian impact unit,11254.0332031,2,7913061.843505859375000
1409834.192928226199001,30049066461.721839904785156,mNhm,Middle Noachian highland massif unit,36771.1523438,41,1873161.479003906250000
406375.431385401810985,7564043735.980698585510254,HNt,Hesperian and Noachian transition unit,9267.2597656,19,2889481.606689453125000
373528.023370186740067,10069669863.659250259399414,AHi,Amazonian and Hesperian impact unit,12337.7724609,2,7913061.843505859375000
19939883.737964745610952,1577817415335.659667968750000,eHv,Early Hesperian volcanic unit,1781515.0000000,14,5791988.775878906250000
12101779.516289705410600,740357748240.639648437500000,mNh,Middle Noachian highland unit,892081.8125000,40,32313488.187866210937500
670934.922100625699386,14943175551.603960037231445,eHh,Early Hesperian highland unit,18306.4648438,12,1805659.245117187500000
5114620.070571427233517,181555851979.461425781250000,Ht,Hesperian transition unit,221264.7187500,23,910149.268066406250000
514087.819495433475822,18762604572.987609863281250,AHi,Amazonian and Hesperian impact unit,22985.6425781,2,7913061.843505859375000
417695.664236658660229,8674295556.331007003784180,lNh,Late Noachian highland unit,10631.8408203,37,8419068.689208984375000
635265.640346217667684,24923380130.132595062255859,AHi,Amazonian and Hesperian impact unit,30535.2480469,2,7913061.843505859375000
227811.420046949438984,3793903748.427906036376953,HNhu,Hesperian and Noachian highland undivided unit,4650.6860352,18,1006731.637207031250000
736474.525627855095081,17101991758.482030868530273,eHt,Early Hesperian transition unit,20953.8671875,13,3688018.222167968750000
704200.761590739362873,12158927073.487827301025391,lNh,Late Noachian highland unit,14889.1796875,37,8419068.689208984375000
874441.496404479723424,22978472020.702987670898438,lAvf,Late Amazonian volcanic field unit,28129.2558594,31,312533.448242187500000
456212.161929110530764,12291362181.729463577270508,AHi,Amazonian and Hesperian impact unit,15064.6103516,2,7913061.843505859375000
653527.237742078723386,15272875382.655706405639648,Htu,Hesperian transition undivided unit,18704.3222656,25,741194.071777343750000
369273.941311648348346,4356965000.193593978881836,lNh,Late Noachian highland unit,5340.2656250,37,8419068.689208984375000
307739.427442290238105,5050549296.323625564575195,Nhe,Noachian highland edifice unit,6191.4658203,42,220604.235595703125000
717051.083635206916369,32710251353.467121124267578,AHi,Amazonian and Hesperian impact unit,40081.2929688,2,7913061.843505859375000
676813.229148852638900,15917058221.988729476928711,HNhu,Hesperian and Noachian highland undivided unit,19498.0937500,18,1006731.637207031250000
757458.310421889647841,19955007176.577186584472656,Ht,Hesperian transition unit,24442.2480469,23,910149.268066406250000
1406933.479998741298914,60644318770.375572204589844,eNh,Early Noachian highland unit,74254.8984375,15,14599337.820922851562500
3664584.155350623652339,100596018613.502517700195312,eHh,Early Hesperian highland unit,123121.1171875,12,1805659.245117187500000
470466.031170481699519,8493236687.786144256591797,mNhm,Middle Noachian highland massif unit,10411.3046875,41,1873161.479003906250000
1386797.431454069679603,66505195191.335548400878906,lHv,Late Hesperian volcanic unit,81498.9453125,35,2391023.202148437500000
697391.779277918394655,32674720098.982383728027344,AHi,Amazonian and Hesperian impact unit,40049.0664062,2,7913061.843505859375000
316928.633742889738642,4180883215.012453079223633,HNt,Hesperian and Noachian transition unit,5126.6123047,19,2889481.606689453125000
505238.750370685011148,11245013816.370738983154297,Htu,Hesperian transition undivided unit,13788.9228516,25,741194.071777343750000
2737197.747600515373051,157405168582.765441894531250,eNh,Early Noachian highland unit,192104.3125000,15,14599337.820922851562500
10959431.992064185440540,1360154133257.895507812500000,lHv,Late Hesperian volcanic unit,1607570.7500000,35,2391023.202148437500000
218163.824120219418546,2543430124.888207912445068,AHtu,Amazonian and Hesperian transition undivided unit,3120.4611816,3,2200401.866943359375000
854698.441965135978535,17645719386.930904388427734,lNh,Late Noachian highland unit,21630.5019531,37,8419068.689208984375000
1010969.454026204301044,44965791267.433067321777344,lAvf,Late Amazonian volcanic field unit,55105.6875000,31,312533.448242187500000
1244494.956651410786435,23873615949.782680511474609,Hto,Hesperian transition outflow unit,29230.4179688,24,1289054.372802734375000
1368743.155690943589434,71331690669.443511962890625,eHh,Early Hesperian highland unit,87432.0156250,12,1805659.245117187500000
457353.997677061182912,9136557636.670642852783203,lNh,Late Noachian highland unit,11203.9824219,37,8419068.689208984375000
8516840.652925947681069,408498177173.539184570312500,HNt,Hesperian and Noachian transition unit,497290.0625000,19,2889481.606689453125000
565607.877033386961557,10209474551.531534194946289,mNh,Middle Noachian highland unit,12518.1650391,40,32313488.187866210937500
412680.897000343888067,11337730629.317920684814453,AHi,Amazonian and Hesperian impact unit,13903.6562500,2,7913061.843505859375000
1993402.703174160560593,77715439469.048995971679688,lNh,Late Noachian highland unit,94936.0546875,37,8419068.689208984375000
3776784.379337892401963,166183631780.290802001953125,Ht,Hesperian transition unit,202937.4375000,23,910149.268066406250000
438577.989298007916659,10722957714.848743438720703,AHi,Amazonian and Hesperian impact unit,13149.6933594,2,7913061.843505859375000
471827.272538550256286,8797456423.836654663085938,Ht,Hesperian transition unit,10788.4414062,23,910149.268066406250000
481715.942664175876416,8845407017.292695999145508,mNhm,Middle Noachian highland massif unit,10846.9101562,41,1873161.479003906250000
2147403.706141590140760,98129392535.512390136718750,AHtu,Amazonian and Hesperian transition undivided unit,119698.8515625,3,2200401.866943359375000
393925.846563590283040,11043060884.696372985839844,AHi,Amazonian and Hesperian impact unit,13542.0712891,2,7913061.843505859375000
1402106.803231454920024,33382364281.409797668457031,mNhm,Middle Noachian highland massif unit,40930.6406250,41,1873161.479003906250000
1122330.085783990798518,26733369087.037673950195312,AHi,Amazonian and Hesperian impact unit,32780.5625000,2,7913061.843505859375000
2612656.520103245042264,204989199381.035858154296875,AHtu,Amazonian and Hesperian transition undivided unit,250332.3906250,3,2200401.866943359375000
526763.787808183580637,18932796554.195899963378906,AHi,Amazonian and Hesperian impact unit,23216.4687500,2,7913061.843505859375000
950008.799160426598974,28703210048.672084808349609,eNh,Early Noachian highland unit,35182.8359375,15,14599337.820922851562500
389627.679379854409490,10115638514.072719573974609,AHi,Amazonian and Hesperian impact unit,12403.7382812,2,7913061.843505859375000
401616.685668342805002,8226842020.822684288024902,eHh,Early Hesperian highland unit,10087.2128906,12,1805659.245117187500000
396053.423775645554997,9961967627.902097702026367,AHi,Amazonian and Hesperian impact unit,12215.5380859,2,7913061.843505859375000
434128.422372501285281,12753517524.036636352539062,AHi,Amazonian and Hesperian impact unit,15637.4824219,2,7913061.843505859375000
1543769.656784837134182,89851304197.462966918945312,Htu,Hesperian transition undivided unit,110099.1484375,25,741194.071777343750000
528651.050180037040263,16529543077.230348587036133,lNh,Late Noachian highland unit,20267.5761719,37,8419068.689208984375000
636667.257428778684698,14705867456.052371978759766,mNhm,Middle Noachian highland massif unit,18031.8300781,41,1873161.479003906250000
358024.170331064320635,5368930240.626422882080078,lHt,Late Hesperian transition unit,6582.5136719,34,2345022.695800781250000
368254.201845848874655,9887220505.658185958862305,AHi,Amazonian and Hesperian impact unit,12121.2666016,2,7913061.843505859375000
929273.456547410925850,28857111830.725578308105469,lHt,Late Hesperian transition unit,35383.2929688,34,2345022.695800781250000
593219.583870266098529,12543280208.641410827636719,Htu,Hesperian transition undivided unit,15376.9589844,25,741194.071777343750000
259303.804674179118592,4473295038.180074691772461,AHi,Amazonian and Hesperian impact unit,5482.9135742,2,7913061.843505859375000
2005766.280380354495719,106924751479.650924682617188,AHtu,Amazonian and Hesperian transition undivided unit,131062.7187500,3,2200401.866943359375000
